"Tag,Description,Status,Type,System,Responsible,Dimensions,Weight,Voltage,Current,Frequency,IP_Rating
E80001,High Voltage Switchgear,Active,ACS,80,Company X,1200x3000x2400 mm,2000 kg,145 kV,2000 A,50 Hz,IP54
G80002,Gas Insulated Circuit Breaker,Active,GCB,80,Company X,2200x4000x3000 mm,3500 kg,138 kV,2500 A,60 Hz,IP55
T80003,High Voltage Transformer,Operational,Power Transformer,80,Company X,4000x5000x4500 mm,10000 kg,115 kV,1200 A,50 Hz,IP54
D80004,Power Distribution Panel,Standby,Panel Board,80,Company Y,800x2000x600 mm,500 kg,110 kV,1000 A,60 Hz,IP42
E81001,Switchgear Assembly,Maintenance,Switchgear,81,Company X,2000x3500x2500 mm,4500 kg,6 kV,1200 A,50 Hz,IP54
T81002,Step-down Transformer,Active,Power Transformer,81,Company Z,3000x4000x3500 mm,8000 kg,5 kV,1500 A,60 Hz,IP56
D81003,Diesel Generator Set,Operational,GENSET,81,Company A,6000x2000x2500 mm,12000 kg,4.16 kV,600 A,50 Hz,IP23
E82001,Voltage Inverter Panel,Active,Inverter,82,Company B,1600x800x600 mm,200 kg,380 V,300 A,60 Hz,IP51
D82002,Distribution Box,Active,Distribution Board,82,Company C,1000x2000x500 mm,150 kg,240 V,500 A,50 Hz,IP66
G82003,Ground Power Unit,Active,GPU,82,Company D,1200x800x1200 mm,500 kg,220 V,400 A,400 Hz,IP53
E83001,Emergency Diesel Generator,Active,GENSET,83,Company E,7000x2500x3000 mm,13000 kg,440 V,800 A,60 Hz,IP23
B83002,Battery Charger Unit,Operational,Charger,83,Company F,500x600x800 mm,120 kg,240 V,100 A,50 Hz,IP50
T83003,Transformer for Emergency Systems,Standby,Power Transformer,83,Company G,3000x4000x3500 mm,9000 kg,415 V,1250 A,50 Hz,IP55
E84001,Emergency Lighting Inverter,Operational,Inverter,84,Company H,1500x500x400 mm,80 kg,110 V,30 A,50 Hz,IP42
T84002,Turbine Driven Generator,Active,Turbine Generator,84,Company I,8000x3000x4000 mm,15000 kg,450 V,1500 A,60 Hz,IP22
D85001,Battery Back-up System,Active,Battery Bank,85,Company J,2500x1500x1800 mm,2000 kg,DC 110 V,NA,DC,IP20
U85002,Uninterruptable Power Supply,Operational,UPS,85,Company K,600x800x1200 mm,300 kg,230 V,AC 5 A,50 Hz,IP40
G86001,Radar Transceiver,Active,Transceiver,86,Company L,400x300x200 mm,10 kg,24 V,2 A,NA,IP65
R86002,VHF Radio,Operational,Two-Way Radio,86,Company M,250x150x300 mm,3 kg,12 V,5 A,NA,IP67
A86003,Antenna Tuning Unit,Standby,Tuner,86,Company N,350x400x250 mm,5 kg,28 V,1 A,NA,IP54
I87001,Programmable Logic Controller,Active,PLC,87,Company O,600x700x300 mm,40 kg,24 V DC,10 A,NA,IP65
S87002,Smoke Detector Panel,Active,Detection System,87,Company P,500x600x150 mm,15 kg,24 V DC,0.5 A,NA,IP30
P87003,Pressure Transmitter,Maintenance,Transmitter,87,Company Q,100x150x120 mm,0.6 kg,24 V DC,4-20mA,NA,IP68
G88001,Earth Rod,Active,Earthing Equipment,88,Company R,3000x14x14 mm,5 kg,NA,NA,NA,IPX8
L88002,Lightning Arrester,Operational,Surge Protection,88,Company S,300x100x100 mm,2 kg,1000 V,20 kA,NA,IP66
C89001,Custom HVAC Control System,Design,Climate Control,89,Company T,2000x1500x600 mm,350 kg,380 V,15 A,50 Hz,IP54
Z89002,Zero Emission Propulsion System,Testing,Electric Propulsion,89,Company U,15000x5000x3000 mm,25000 kg,NA,NA,NA,IPXX
N89003,Navigation Light Controller,Standby,Lighting Control,89,Company V,600x400x200 mm,25 kg,120 V,0.5 A,NA,IP65"
